name_zh,name_pinyin,gate_category,subcategory,four_qi,five_flavors,meridians,primary_functions,indications,constitutions_suitable,constitutions_caution,contraindications,seasonality,prep_methods,pairing_good,pairing_bad,dietary_dosage,medicinal_dosage,modern_notes,source_ref
三七,san qi,中药材,补益,凉,辛咸、咸,肾;肝;肺;脾;胃;胆;心;小肠,化瘀止血;消肿定痛,外伤出血;瘀痛,气虚、阳虚、阴虚、平和、痰湿,过量慎用；适量使用;忌过量,阴虚火旺慎；脾虚湿盛慎；孕妇慎；实热内盛慎,四季,煎服/冲服/炙用/研末/先煎/外用/煲汤/后下/泡饮/炖煮,姜;枣;米;枸杞;红枣;蜂蜜,油腻;辛辣,——,6-15g/日,药食两用：具补益、安神或抗疲劳作用。；稀有/名贵药材或补益品，适合体虚调养与药膳配伍。,《本草纲目》要点/现代药理参考
丝瓜,si gua,食材,蔬菜,凉,甘,肝;胃,清热化痰;凉血解毒,热病;痰喘;痈肿,湿热、痰湿,适量为宜,脾胃虚寒慎,夏、秋,清炒/煮汤,鸡蛋;虾仁;蛤蜊,白萝卜,100-200g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
丹参,dan shen,中药材,安神,寒,苦甘、辛,肾;肝;肺;脾;胃;心;胆;小肠,活血祛瘀;凉血安神;清心除烦,心悸失眠;痛经;胸痹心痛;失眠,血虚、气滞、痰湿、阳虚、阴虚,过量慎用；适量使用;忌过量,实热内盛慎；阴虚火旺慎；孕妇慎；脾虚湿盛慎,四季,炙用/生食/先煎/泡茶/煲汤/煎服/冲服/后下/外用/研末/泡饮/炖煮,姜;枣;米;枸杞;红枣;蜂蜜;红花;川芎;当归;桃仁,油腻;辛辣,——,6-15g/日,药食两用：具补益、安神或抗疲劳作用。；稀有/名贵药材或补益品，适合体虚调养与药膳配伍。,《本草纲目》要点/现代药理参考
丹皮,dan pi,中药材,安神,热、微温,酸涩、苦,脾;胃;肝;肾;肺;心;小肠;胆,清热凉血;活血散瘀,温热病;血热出血,痰湿、血虚、平和、湿热、气滞,过量慎用,阴虚火旺慎；孕妇慎；实热内盛慎；脾虚湿盛慎,四季,煎服/研末/煲汤/外用/冲服/生食/炙用/泡茶/后下/先煎,姜;枣;米,——,——,9-30g/日,药食两用：具清热、抗炎、调节代谢作用。,《本草纲目》要点/现代药理参考
乌梅,wu mei,中药材,木本花果类,凉,咸、苦,肺;脾;胃;心;肝;肾;小肠;胆,敛肺生津;安蛔止泻,久咳虚喘;蛔厥腹痛,血虚、气滞、平和、痰湿、湿热,过量慎用,阴虚火旺慎；脾虚湿盛慎；孕妇慎；实热内盛慎,四季,外用/生食/泡茶/炙用/煲汤/先煎/冲服/后下/研末,姜;枣;米,——,——,1-3g/日,兼具药理与传统用途：具清热、止痛、抗菌或收敛作用。,《本草纲目》要点/现代药理参考
乌药,wu yao,中药材,行气止痛,温,辛,肺;脾;肾;膀胱,行气止痛;温肾散寒,胸腹胀痛;寒疝腹痛;小便频数;遗尿,阳虚、气滞、平和,气虚、阴虚,气血虚而内热者慎;孕妇慎,四季,煎服/研末,当归;川芎;香附,——,——,3-9g/日,药食参考条目。具有行气、止痛、温肾作用。,《中国药典》/《本草纲目》
乌龙茶,wu long cha,食材,茶类,平,苦;甘,肝;胆;胃,消食化积;降脂,食积;高血脂,平和,适量饮用,——,四季,泡饮,——,——,5-8g/泡,——,半发酵茶，香气高雅，降脂效果好。,《茶经》/现代营养学
乳香,ru xiang,中药材,外用草药类,微温,辛咸、辛甘,心;小肠;肝;肾;肺;胆;脾;胃,活血止痛;消肿生肌,跌打损伤;疮疡,阳虚、阴虚、湿热、平和、气滞,适量使用;忌过量,孕妇慎；实热内盛慎；阴虚火旺慎；脾虚湿盛慎,四季,泡茶/煲汤/生食/煎服/外用/炖煮/蒸食/熬膏,姜;葱;米,辛辣;油腻,——,适量入菜,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
五加皮,wu jia pi,中药材,祛风除湿,温,辛;苦,肝;肾,祛风湿;补益肝肾;强筋骨,风寒湿痹;腰膝酸软;筋骨痿软,阳虚、气滞、平和,阴虚火旺,阴虚火旺者慎,四季,煎服/泡酒,杜仲;牛膝,——,——,6-12g/日,药食参考条目。具祛风湿、强筋骨作用。,《中国药典》/《神农本草经》
五味子,wu wei zi,中药材,温里,温、寒,酸、辛甘,肝;肾;肺;脾;胃;胆;心;小肠;大肠,敛肺止咳;涩精止泻,久咳虚喘;滑精,阴虚、气虚、湿热、痰湿、气滞,过量慎用,实热内盛慎；孕妇慎；阴虚火旺慎；脾虚湿盛慎；高尿酸慎,四季,研末/后下/外用/泡茶/冲服/煲汤/生食/炙用/煎服/先煎/研末冲服/包煎,姜;枣;米;五味子,——,——,100-250g/餐,药食两用：具补益、安神或抗疲劳作用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
五指毛桃,wu zhi mao tao,中药材,补益,凉、平,咸、辛甘,肝;肾;肺;心;脾;小肠;胃;胆,健脾祛湿;益气固表,脾虚气弱;水肿,气滞、血虚、阴虚、气虚、痰湿,适量使用;忌过量,阴虚火旺慎；孕妇慎；实热内盛慎；脾虚湿盛慎,四季,生食/泡饮/研末/泡茶/外用/煎服/煲汤/炖煮,枸杞;红枣;蜂蜜,油腻;辛辣,——,3-9g/日,稀有/名贵药材或补益品，适合体虚调养与药膳配伍。,《本草纲目》要点/现代药理参考
人参,ren shen,中药材,清热,温,苦、淡,心;肝;脾;肾;胃;肺;胆;小肠;膀胱;大肠,大补元气;生津安神,气虚欲脱;脾肺气虚,阳虚、血虚、阴虚、平和、痰湿,过量慎用,孕妇慎；阴虚火旺慎；实热内盛慎；脾虚湿盛慎；高尿酸慎,四季,冲服/炙用/煲汤/泡茶/外用/煎服/后下/先煎/研末冲服,人参,——,——,9-30g/日,常用药理特性：具免疫调节与抗炎作用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
人参花,ren shen hua,中药材,安神,热,辛、苦甘,肺;脾;胃;心;小肠;肝;胆;肾,益气安神;清心,心悸失眠;体虚,气虚、平和、痰湿、阳虚、气滞,适量使用;忌过量,实热内盛慎；阴虚火旺慎；脾虚湿盛慎；孕妇慎,四季,外用/炖煮/煲汤/泡饮/泡茶/炙用,枸杞;红枣;蜂蜜,油腻;辛辣,——,15-60g/日,稀有/名贵药材或补益品，适合体虚调养与药膳配伍。,《本草纲目》要点/现代药理参考
佩兰,pei lan,中药材,民间草药类,微温,酸涩、苦甘,肝;肾;肺;心;脾;胆;小肠;胃,芳香化湿;醒脾开胃,口臭;胸闷,平和、湿热、气虚、气滞、阴虚,过量慎用；适量使用;忌过量,阴虚火旺慎；脾虚湿盛慎；实热内盛慎；孕妇慎,四季,先煎/煎服/泡茶/煲汤/后下/冲服/炙用/外用/凉拌/蒸食/烹饪/炖煮/泡饮/煮粥,姜;枣;米;红枣,辛辣;油腻,——,3-9g/日,药食两用：具清热、抗炎、调节代谢作用。；常见食疗与草药条目，兼具调理与保健价值。,《本草纲目》要点/现代药理参考
兔肉,tu rou,动物类,畜肉,凉,甘,肝;大肠,补中益气;凉血解毒,消渴;便血,阴虚、湿热,适量为宜,阳虚慎;孕妇慎,秋、冬,炒/炖/烤,枸杞;山药,鸡蛋;姜;芹菜,100-150g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
党参,dang shen,中药材,补益,寒,甘、苦甘,肝;胆;肺;脾;胃;心;小肠;肾,补中益气;健脾益肺,气短乏力;食少便溏,平和、气虚、痰湿、血虚、阳虚,过量慎用；适量使用;忌过量,脾虚湿盛慎；孕妇慎；实热内盛慎；阴虚火旺慎,四季,研末/煎服/泡茶/炙用/外用/先煎/后下/生食/煲汤/炖煮/泡饮,姜;枣;米;枸杞;红枣;蜂蜜,油腻;辛辣,——,9-30g/日,药食两用：具补益、安神或抗疲劳作用。；稀有/名贵药材或补益品，适合体虚调养与药膳配伍。,《本草纲目》要点/现代药理参考
党参炖鸡,dang shen dun ji,食材,药膳饮品类,平,甘,脾;肺,气虚乏力;食少,脾;肺,痰湿、血虚、阴虚、平和、气滞,孕期慎用;适量为宜,脾虚湿盛慎；阴虚火旺慎；孕妇慎；实热内盛慎,四季,炖煮,枸杞;红枣;桂圆,过量酒精,适量,6-15g/日,药膳或滋补饮品原料，适宜体虚调养及季节性食疗。,《本草纲目》要点/现代药理参考
八角,ba jiao,中药材,调味香料类,凉,辛甘、辛,肝;肾;肺;脾;胃;胆;心;小肠,温中理气;祛寒止痛,腹冷胀痛;呕吐,阳虚、阴虚、气虚、痰湿、湿热,适量为宜;忌过食,实热内盛慎；孕妇慎；脾虚湿盛慎；阴虚火旺慎,四季,外用/研末/泡酒/泡茶/煎服/炖煮/煲汤/冲泡/香料/生食,姜;枸杞;蜂蜜,酒精;油炸,——,9-30g/日,兼具药理与生活应用价值，可入茶、入膳或泡酒使用。,《本草纲目》要点/现代药理参考
冬瓜,dong gua,食材,蔬菜,凉,甘、淡,肺;大肠;膀胱,利水消肿;清热解毒,水肿;暑热;痰热咳嗽,痰湿、湿热、平和,适量为宜;忌过食,脾胃虚寒慎;肾虚者慎,夏、秋,煮汤/清炒/炖煮/凉拌,薏米;海带;鸭肉;莲子;排骨,醋;鲫鱼,150-250g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
