title_zh,intent_tags,constitution_tags,method,usage,cautions,seasonality,source_ref
扁豆薏米祛湿汤,"健脾渗湿,利水,降脂(现代)","痰湿,湿热",同煮40-60min。,每周2-3次。,孕期慎长期大量薏米。,夏,
川贝雪梨润肺饮,"润肺化痰,止咳,抗氧化(现代)","阴虚,燥热",隔水炖40min。,每日1次温服。,糖尿病慎蜜; 脾胃虚寒慎。,秋,
燕麦山楂消脂粥,"化积消脂(现代),健脾","痰湿,高脂",小火煮至稠。,早餐1碗。,胃酸过多慎山楂。,秋冬,
普洱陈皮化腻茶,"化腻降脂(现代),温中","痰湿,阳虚",85℃热水冲泡。,饭后温饮。,胃溃疡者慎浓茶; 晚间少饮。,冬,
百合莲子宁心羹,"养心安神,助眠(现代)","阴虚,气虚,脾虚",隔水炖40-60min。,每晚1次。,糖尿病慎甜; 脾虚便溏者慎。,秋冬,
鸡肝菠菜补铁粥,"补血养肝,护眼(现代)",血虚,小火煮稠。,每周2次。,高脂血症慎肝; 妊娠补铁遵医嘱。,春冬,
冬瓜扁豆祛湿汤,"利水消肿,清热化湿","痰湿,湿热",煮40min。,每周2-3次。,脾胃虚寒者少量。,夏,
牛肉胡萝卜炖,"补中益气,强筋骨","气虚,血虚",炖60-90min。,每周1-2次。,痛风急性期慎牛肉; 去油。,冬,
扇贝豆腐清鲜汤,"滋阴补肾,高蛋白(现代)","阴虚,平和",清煮10-12min。,每周1-2次。,痛风急性期慎贝类; 过敏禁食。,夏秋,
藜麦南瓜能量碗,"健脾益气,安神助眠(现代)","气虚,血虚",拌合成碗。,午/晚餐替主食。,糖尿病慎量。,秋,
菠菜豆腐汤,清淡健胃(现代),"湿热,平和",清煮8-10min。,日常清口。,肾结石史焯水后食。,春,
金针菇紫菜豆腐羹,利湿清淡(现代),"湿热,平和",勾芡成羹。,日常清淡餐。,痛风急性期慎菌; 甲状腺病遵医嘱。,四季,
黑米桂圆温润粥,"养心安神,养血(现代)","气虚,血虚,阴虚",小火煮至粘润。,睡前半碗。,糖尿病慎量。,秋冬,
山药莲子养胃粥,"健脾益气,宁心(现代)","脾虚,气虚",小火煮粥。,早餐/晚餐。,便秘者酌减山药。,秋冬,
小米南瓜粥,健脾和中(现代),"脾虚,气虚",小火煮粥。,早餐。,糖尿病控制主食。,秋,
红豆薏米粥,"健脾祛湿,利水","痰湿,湿热",小火煮粥。,梅雨季。,孕期慎长期大量薏米。,夏,
绿豆百合清润粥,清热润燥,"湿热,阴虚",小火煮。,夏日清润。,脾胃虚寒者慎。,夏,
姜葱蒸鲈鱼,"益脾胃,易消化(现代)","气虚,平和",清蒸8-10min。,每周1次。,过敏/痛风急性期慎。,秋,
牛蒡胡萝卜清汤,"清淡健胃,补中(现代)","气虚,平和",清炖。,日常清口。,痛风急性期慎牛肉。,冬,
海带豆腐汤,"软坚利水,清热","痰湿,湿热",清煮。,每周1-2次。,甲状腺病遵医嘱。,夏,
﻿title_zh,intent_tags,constitution_tags,method,usage,cautions,seasonality,source_ref
当归牛腱暖身汤,"补血活血,温阳(现代)","气虚,阳虚,血虚",炖60-90min。,每周1次。,孕期慎当归; 高脂血症去油。,冬,
黄芪乌鸡滋补汤,"补气固表,养血(现代)","气虚,血虚",炖60min。,每周1次。,感冒发热期不宜进补。,冬,
桂圆红枣黑米粥,"养心安神,补血(现代)","气虚,血虚,阴虚",小火煮粥。,晚间半碗。,糖尿病慎甜。,秋冬,
荷叶薏米赤小豆汤,"祛湿利水,清暑(现代)","湿热,痰湿",小火40min。,夏日每周2-3次。,孕期慎大量荷叶; 脾虚便溏者少量。,夏,
丝瓜西葫芦清炒,"清热生津,利水(现代)","湿热,平和",快炒少油。,夏令常用。,脾胃虚寒者少量。,夏,
柚子蜂蜜水,生津解腻(现代),"平和,湿热",温水冲调。,餐后。,糖尿病慎蜜; 胃酸多者少量。,夏秋,
无花果雪梨银耳汤,"润肺生津,清咽(现代)","阴虚,燥热",炖45min。,隔日1次。,糖尿病慎甜。,秋冬,
